day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes,Region
1,8,2012,23.2,59.9,23.6,0.0,90.0,11.2,68.8,12.8,16.3,19.0,not fire,Bejaia
2,9,2012,34.9,81.0,20.9,0.1,87.6,31.8,145.5,13.0,41.0,29.9,fire,Bejaia
3,6,2012,36.9,37.3,18.9,1.9,76.8,32.0,148.3,14.2,42.9,32.7,fire,Bejaia
4,7,2012,31.7,37.4,12.4,0.5,88.7,22.0,109.3,12.0,27.2,21.4,not fire,Bejaia
5,8,2012,33.6,72.3,18.0,0.6,82.4,27.2,131.8,14.4,32.0,28.9,fire,Bejaia
6,9,2012,35.0,31.3,22.4,1.1,85.6,26.0,140.8,14.8,37.2,33.0,fire,Bejaia
7,6,2012,33.4,42.0,14.3,0.0,91.7,31.4,121.6,12.5,40.0,28.1,fire,Bejaia
8,7,2012,27.9,58.0,19.2,0.2,89.9,21.7,103.2,14.1,33.2,29.2,fire,Bejaia
9,8,2012,22.0,79.1,12.7,0.0,88.0,5.4,51.9,9.9,9.4,9.8,not fire,Bejaia
10,9,2012,34.6,59.1,7.9,0.0,89.3,32.5,138.8,12.2,40.8,29.2,fire,Bejaia
11,6,2012,28.5,52.3,16.0,0.0,88.6,22.1,98.7,12.5,29.7,22.1,not fire,Bejaia
12,7,2012,25.5,32.8,5.0,0.0,93.8,15.0,84.7,12.6,24.3,21.8,not fire,Bejaia
13,8,2012,38.8,56.4,10.8,0.0,85.8,34.4,159.7,12.4,48.0,30.4,fire,Bejaia
14,9,2012,34.0,39.4,17.4,2.7,66.2,24.1,115.5,9.7,29.6,17.8,not fire,Bejaia
15,6,2012,34.1,52.2,16.6,0.0,92.1,28.6,123.0,14.5,34.9,32.5,fire,Bejaia
16,7,2012,33.9,53.0,16.7,0.0,93.4,29.5,134.8,14.7,36.2,32.7,fire,Bejaia
17,8,2012,31.9,59.7,10.8,0.1,83.4,22.4,117.1,10.7,34.9,24.0,fire,Bejaia
18,9,2012,27.2,60.2,13.0,0.8,82.4,18.0,86.5,12.8,21.5,20.6,not fire,Bejaia
19,6,2012,42.0,58.3,22.2,0.0,89.7,42.0,180.6,12.8,53.2,33.0,fire,Bejaia
20,7,2012,35.3,71.3,16.8,0.0,87.5,30.6,149.5,10.3,40.1,21.3,not fire,Bejaia
21,8,2012,24.5,75.5,19.5,1.3,72.6,1.5,66.4,14.6,11.7,16.0,not fire,Bejaia
22,9,2012,34.3,31.6,13.5,0.9,84.9,29.5,134.0,12.6,36.4,28.7,fire,Bejaia
23,6,2012,40.1,40.4,10.6,0.0,94.0,37.9,182.5,12.4,50.6,33.0,fire,Bejaia
24,7,2012,30.2,40.9,12.8,0.0,88.0,25.2,106.8,13.5,26.4,23.7,fire,Bejaia
25,8,2012,23.6,42.6,16.2,0.7,84.8,10.1,69.6,10.9,17.9,16.4,not fire,Bejaia
26,9,2012,33.9,63.3,16.5,0.4,84.0,27.0,125.3,10.9,32.5,21.1,not fire,Bejaia
27,6,2012,31.6,60.0,15.3,0.0,90.0,27.8,118.6,11.8,35.6,25.6,fire,Bejaia
28,7,2012,24.8,54.0,16.3,0.9,82.7,7.7,85.0,13.7,16.9,19.6,not fire,Bejaia
29,8,2012,20.0,37.7,13.5,2.1,76.1,6.6,29.7,9.7,8.9,10.6,not fire,Bejaia
30,9,2012,25.9,58.7,24.1,0.3,85.0,10.5,73.5,13.1,16.3,18.9,not fire,Bejaia
1,6,2012,33.2,28.4,17.6,0.1,94.4,25.8,123.4,14.3,35.5,31.5,fire,Bejaia
2,7,2012,23.6,63.1,9.8,0.5,81.0,12.6,62.5,9.0,18.3,13.0,not fire,Bejaia
3,8,2012,28.9,76.8,12.8,0.0,86.3,19.4,107.3,11.1,26.9,21.7,not fire,Bejaia
4,9,2012,26.8,20.0,23.1,1.8,78.8,6.6,79.1,12.4,15.4,15.2,not fire,Bejaia
5,6,2012,34.9,62.9,7.5,0.8,85.9,29.1,132.9,10.6,38.6,21.9,not fire,Bejaia
6,7,2012,32.8,49.1,24.2,0.0,93.2,24.2,131.6,15.0,32.5,31.3,fire,Bejaia
7,8,2012,38.1,50.1,6.5,0.1,87.4,34.7,157.4,8.6,41.2,20.2,not fire,Bejaia
8,9,2012,29.4,,18.9,0.5,88.7,16.5,110.4,13.6,31.2,27.9,fire,Bejaia
9,6,2012,33.9,52.5,19.1,0.6,86.9,25.9,127.1,12.4,36.2,28.6,fire,Bejaia
10,7,2012,29.7,48.6,16.6,0.8,85.4,13.4,97.6,11.4,18.0,15.3,not fire,Bejaia
11,8,2012,27.4,52.0,20.6,0.0,87.4,18.7,102.9,12.0,24.8,21.7,not fire,Bejaia
12,9,2012,30.9,64.7,14.9,0.0,85.5,24.4,113.7,10.5,28.6,20.5,not fire,Bejaia
13,6,2012,30.2,39.7,14.5,0.0,86.7,18.9,104.1,14.1,27.5,27.2,fire,Bejaia
14,7,2012,26.3,38.2,17.2,0.0,92.6,16.5,90.0,13.5,25.0,24.7,fire,Bejaia
15,8,2012,23.9,21.3,20.0,1.0,83.7,4.6,69.0,14.0,16.7,20.2,not fire,Bejaia
16,9,2012,30.1,41.6,15.1,1.1,80.2,26.1,119.6,13.0,31.8,27.3,fire,Bejaia
17,6,2012,35.2,61.6,21.2,0.1,89.1,33.1,143.7,11.3,41.6,26.0,fire,Bejaia
18,7,2012,25.6,80.2,23.6,0.0,85.7,20.0,83.7,13.9,22.4,23.6,fire,Bejaia
19,8,2012,32.3,35.5,14.7,0.0,95.5,29.4,123.9,13.5,36.3,29.4,fire,Bejaia
20,9,2012,26.6,52.7,11.3,0.7,84.7,16.6,71.7,11.2,22.7,19.6,not fire,Bejaia
21,6,2012,37.1,55.6,10.8,2.2,71.9,28.9,152.0,11.3,39.9,24.5,fire,Bejaia
22,7,2012,30.4,58.3,14.0,0.5,84.8,20.6,104.8,12.3,27.3,22.9,not fire,Bejaia
23,8,2012,33.4,37.9,12.6,0.0,89.2,22.0,115.3,12.1,30.6,23.8,fire,Bejaia
24,9,2012,38.1,20.0,17.0,0.0,92.0,34.8,152.4,12.0,43.1,30.5,fire,Bejaia
25,6,2012,41.2,50.0,24.5,0.0,93.3,40.6,178.2,15.1,57.5,33.0,fire,Bejaia
26,7,2012,28.5,69.5,13.2,0.9,81.4,17.9,98.5,11.3,26.2,20.8,not fire,Bejaia
27,8,2012,22.3,65.0,10.1,0.0,87.4,11.0,58.3,12.5,12.6,14.2,not fire,Bejaia
28,9,2012,29.1,54.3,16.4,0.0,90.6,21.7,89.3,10.4,26.4,18.3,not fire,Bejaia
29,6,2012,31.5,54.6,16.1,0.3,84.8,25.5,127.6,11.7,29.4,20.6,not fire,Bejaia
30,7,2012,27.8,46.6,13.0,0.2,87.7,22.0,90.4,10.9,27.7,18.4,not fire,Bejaia
1,8,2012,33.9,56.5,14.3,0.0,87.5,35.5,131.9,10.5,41.2,23.4,fire,Bejaia
2,9,2012,28.2,61.0,17.8,0.0,90.1,23.7,110.9,13.8,33.6,26.9,fire,Bejaia
3,6,2012,30.4,42.0,15.6,1.1,81.6,25.9,105.5,12.3,30.9,24.6,fire,Bejaia
4,7,2012,32.0,61.7,20.8,1.1,80.0,24.8,107.6,12.4,32.9,26.6,fire,Bejaia
5,8,2012,33.1,68.3,17.5,0.3,85.0,25.9,129.4,8.7,35.7,14.3,not fire,Bejaia
6,9,2012,23.4,61.8,17.4,0.1,86.1,16.4,66.1,15.5,19.7,24.6,fire,Bejaia
7,6,2012,40.1,57.0,10.0,0.7,83.1,33.0,165.0,10.0,46.4,24.9,fire,Bejaia
8,7,2012,30.6,53.4,16.1,1.7,73.5,15.6,113.7,10.4,23.6,18.0,not fire,Bejaia
9,8,2012,34.3,32.0,16.1,0.0,93.2,31.8,124.7,13.6,37.2,29.7,fire,Bejaia
10,9,2012,36.4,77.2,24.0,0.7,80.2,32.2,151.0,13.3,42.3,32.8,fire,Bejaia
11,6,2012,31.7,44.1,12.9,0.0,90.6,26.7,125.6,11.8,36.4,26.2,fire,Bejaia
12,7,2012,25.8,76.6,12.5,1.2,74.2,9.7,79.4,10.1,17.1,14.5,not fire,Bejaia
13,8,2012,33.7,59.7,17.0,0.1,82.9,27.4,114.0,12.2,33.5,26.7,fire,Bejaia
14,9,2012,37.9,58.0,12.5,0.0,87.5,35.7,165.5,11.1,47.9,29.2,fire,Bejaia
15,6,2012,27.2,69.6,18.5,0.2,83.6,15.3,88.0,13.2,20.5,21.3,not fire,Bejaia
16,7,2012,25.8,51.9,15.5,0.0,86.7,20.7,85.9,12.9,25.5,23.5,fire,Bejaia
17,8,2012,31.2,76.8,12.7,0.3,81.7,23.8,107.1,11.9,33.2,24.5,fire,Bejaia
18,9,2012,31.0,38.3,13.9,0.0,94.1,33.0,111.4,14.7,37.0,32.6,fire,Bejaia
19,6,2012,34.2,55.9,15.6,0.0,85.7,24.9,140.0,11.9,34.8,25.3,fire,Bejaia
20,7,2012,36.0,57.7,11.7,0.0,89.6,35.5,155.8,13.4,45.9,33.0,fire,Bejaia
21,8,2012,34.6,38.5,18.5,0.6,85.0,32.4,141.2,14.6,40.1,32.8,fire,Bejaia
22,9,2012,30.8,56.5,15.4,0.0,88.0,25.3,106.9,13.0,31.2,25.4,fire,Bejaia
23,6,2012,30.8,52.2,13.6,0.9,82.0,20.9,93.6,10.3,26.0,17.6,not fire,Bejaia
24,7,2012,38.9,52.5,21.4,0.0,89.3,36.9,163.4,15.9,42.0,33.0,fire,Bejaia
25,8,2012,29.3,55.2,18.5,0.0,88.2,24.9,113.9,13.3,34.0,28.3,fire,Bejaia
26,9,2012,29.2,65.5,15.6,0.4,86.9,13.1,91.6,10.8,20.9,16.6,not fire,Bejaia
27,6,2012,24.5,40.2,10.7,4.7,56.9,1.0,50.2,6.7,4.3,3.1,not fire,Bejaia
28,7,2012,27.0,53.7,7.0,0.0,89.4,19.3,95.4,9.4,27.6,16.2,not fire,Bejaia
29,8,2012,35.2,54.8,8.1,0.2,87.8,32.4,138.7,13.1,42.2,31.1,fire,Bejaia
30,9,2012,35.8,84.0,24.8,0.0,82.8,36.7,136.0,11.9,41.4,28.4,fire,Bejaia
1,6,2012,31.5,45.2,11.6,0.0,88.4,32.1,121.1,13.0,36.5,28.3,fire,Bejaia
2,7,2012,,20.0,8.1,0.1,88.8,16.6,110.6,11.2,29.1,21.8,not fire,Bejaia
1,6,2012,35.9,41.5,17.6,0.4,87.0,33.1,148.2,12.0,39.8,26.4,fire,Sidi-Bel Abbes
2,7,2012,32.4,59.9,11.0,0.0,89.4,28.7,137.0,13.5,35.8,31.2,fire,Sidi-Bel Abbes
3,8,2012,29.3,70.7,15.3,0.1,82.0,21.0,92.9,13.0,29.6,24.5,fire,Sidi-Bel Abbes
4,9,2012,33.5,44.1,11.9,0.4,87.5,32.7,125.3,13.1,38.6,30.5,fire,Sidi-Bel Abbes
5,6,2012,29.8,54.3,14.4,0.1,89.4,24.2,112.7,14.4,34.3,30.4,fire,Sidi-Bel Abbes
6,7,2012,33.9,45.6,15.1,0.0,93.6,30.3,131.4,14.6,33.5,28.5,fire,Sidi-Bel Abbes
7,8,2012,36.0,55.9,16.3,0.0,88.8,38.6,152.5,12.9,45.1,31.7,fire,Sidi-Bel Abbes
8,9,2012,21.4,58.9,19.2,3.5,58.9,1.0,32.8,10.0,1.3,3.0,not fire,Sidi-Bel Abbes
9,6,2012,35.8,51.2,5.0,0.0,92.0,23.9,141.8,9.5,37.2,20.0,not fire,Sidi-Bel Abbes
10,7,2012,34.0,63.5,24.2,0.0,88.5,25.0,143.6,13.1,35.4,28.3,fire,Sidi-Bel Abbes
11,8,2012,24.2,58.4,19.8,0.0,85.3,13.3,81.0,10.5,18.0,16.0,not fire,Sidi-Bel Abbes
12,9,2012,33.4,61.2,24.3,0.0,89.4,36.5,128.4,13.2,42.0,31.9,fire,Sidi-Bel Abbes
13,6,2012,29.4,39.5,26.5,0.0,89.9,24.7,105.3,14.3,31.8,27.8,fire,Sidi-Bel Abbes
14,7,2012,33.8,83.7,17.3,0.0,83.7,27.8,130.5,11.8,38.1,24.6,fire,Sidi-Bel Abbes
15,8,2012,36.3,49.3,16.9,0.2,90.7,36.2,154.4,11.0,46.5,28.2,fire,Sidi-Bel Abbes
16,9,2012,24.0,54.6,16.8,0.9,82.5,11.6,81.3,13.7,13.4,16.4,not fire,Sidi-Bel Abbes
17,6,2012,31.2,28.7,15.5,0.0,90.8,25.9,109.7,11.9,35.0,24.8,fire,Sidi-Bel Abbes
18,7,2012,34.3,26.9,24.3,0.0,92.8,31.6,124.6,16.1,37.0,33.0,fire,Sidi-Bel Abbes
19,8,2012,29.5,46.3,18.5,0.3,88.9,21.2,109.7,12.6,33.7,24.6,fire,Sidi-Bel Abbes
20,9,2012,38.3,75.5,10.7,0.0,87.9,39.2,160.1,11.3,47.1,29.1,fire,Sidi-Bel Abbes
21,6,2012,39.0,57.7,10.4,0.3,88.2,38.5,168.6,11.2,46.5,27.2,fire,Sidi-Bel Abbes
22,7,2012,23.8,58.6,14.6,0.1,81.7,9.0,81.4,10.7,18.4,14.0,not fire,Sidi-Bel Abbes
23,8,2012,39.2,52.8,16.5,1.1,83.3,33.4,154.8,11.7,44.3,28.5,fire,Sidi-Bel Abbes
24,9,2012,30.0,77.0,14.4,0.9,78.3,25.6,108.3,12.5,30.1,23.5,fire,Sidi-Bel Abbes
25,6,2012,34.3,69.8,15.2,0.9,76.8,22.9,117.1,11.3,33.5,23.5,fire,Sidi-Bel Abbes
26,7,2012,20.7,52.1,14.2,0.0,86.5,6.9,67.8,12.7,15.5,16.9,not fire,Sidi-Bel Abbes
27,8,2012,33.6,66.7,11.0,0.0,84.5,29.8,133.3,10.5,37.8,22.5,not fire,Sidi-Bel Abbes
28,9,2012,26.6,49.7,9.5,0.3,85.3,18.9,79.0,10.3,22.0,18.1,not fire,Sidi-Bel Abbes
29,6,2012,33.7,51.8,17.5,0.1,88.3,34.4,132.3,13.0,41.6,31.7,fire,Sidi-Bel Abbes
30,7,2012,22.0,29.8,16.1,0.2,93.7,8.6,45.5,11.5,6.5,8.6,not fire,Sidi-Bel Abbes
1,8,2012,31.1,48.6,20.4,0.0,89.6,18.3,121.3,14.3,29.8,29.1,fire,Sidi-Bel Abbes
2,9,2012,26.2,85.1,10.2,0.8,74.6,11.6,95.1,9.7,22.9,16.2,not fire,Sidi-Bel Abbes
3,6,2012,31.5,75.5,13.8,0.0,84.3,27.0,122.0,9.7,33.1,19.2,not fire,Sidi-Bel Abbes
4,7,2012,30.2,34.4,11.9,0.0,93.6,25.7,109.9,11.9,32.2,23.4,fire,Sidi-Bel Abbes
5,8,2012,26.3,40.9,11.8,0.7,85.8,17.1,71.4,11.6,20.5,18.4,not fire,Sidi-Bel Abbes
6,9,2012,31.9,33.2,8.7,0.0,94.3,19.5,124.4,13.5,30.0,27.1,fire,Sidi-Bel Abbes
7,6,2012,28.5,53.2,6.9,0.4,88.1,16.5,95.4,9.1,21.4,14.1,not fire,Sidi-Bel Abbes
8,7,2012,28.4,60.7,17.3,,86.9,24.4,90.5,12.6,30.5,26.3,fire,Sidi-Bel Abbes
9,8,2012,24.9,50.3,21.8,0.0,90.1,14.2,76.3,14.2,19.4,21.7,not fire,Sidi-Bel Abbes
10,9,2012,32.4,44.8,17.7,0.0,87.0,27.8,118.3,13.5,34.5,29.6,fire,Sidi-Bel Abbes
11,6,2012,37.9,57.9,20.7,0.3,89.7,36.0,164.6,12.0,44.6,29.7,fire,Sidi-Bel Abbes
12,7,2012,31.9,59.2,20.4,1.0,82.3,23.1,114.9,10.8,32.1,19.2,not fire,Sidi-Bel Abbes
13,8,2012,35.2,32.6,15.3,2.2,77.5,24.4,125.1,10.6,35.9,23.4,fire,Sidi-Bel Abbes
14,9,2012,30.1,51.5,7.2,0.3,83.8,24.6,110.1,13.6,29.1,26.2,fire,Sidi-Bel Abbes
15,6,2012,41.0,72.9,11.5,0.0,86.3,41.4,170.4,11.5,47.2,29.2,fire,Sidi-Bel Abbes
16,7,2012,34.3,51.6,6.9,0.0,90.2,27.6,133.3,9.2,34.5,18.6,not fire,Sidi-Bel Abbes
17,8,2012,38.1,45.4,18.2,0.5,87.0,34.1,163.4,12.2,41.8,27.3,fire,Sidi-Bel Abbes
18,9,2012,29.3,36.3,17.1,2.5,76.3,9.2,95.0,10.0,18.8,14.7,not fire,Sidi-Bel Abbes
19,6,2012,20.4,58.6,24.5,0.9,82.0,8.0,46.6,12.7,7.3,11.3,not fire,Sidi-Bel Abbes
20,7,2012,31.4,39.8,15.6,0.2,88.6,26.5,106.9,13.9,29.1,26.2,fire,Sidi-Bel Abbes
21,8,2012,41.6,71.9,15.5,1.1,76.9,38.6,174.7,11.1,49.3,28.6,fire,Sidi-Bel Abbes
22,9,2012,24.8,47.3,19.6,0.2,88.2,11.6,78.6,12.7,21.7,21.2,not fire,Sidi-Bel Abbes
23,6,2012,25.4,65.1,11.1,0.0,88.1,14.2,89.8,10.7,20.8,15.9,not fire,Sidi-Bel Abbes
24,7,2012,29.2,71.5,18.1,0.2,89.4,18.0,104.6,11.6,24.9,19.5,not fire,Sidi-Bel Abbes
25,8,2012,26.7,39.2,14.3,0.0,93.1,15.0,112.8,12.2,26.1,20.6,not fire,Sidi-Bel Abbes
26,9,2012,40.5,71.8,16.5,0.2,85.3,35.9,183.9,13.4,49.3,32.4,fire,Sidi-Bel Abbes
27,6,2012,27.1,65.3,21.1,0.5,80.6,17.9,98.3,10.5,25.4,18.7,not fire,Sidi-Bel Abbes
28,7,2012,30.5,27.2,13.4,0.0,92.9,22.1,109.4,12.6,30.6,24.6,fire,Sidi-Bel Abbes
29,8,2012,30.0,56.4,5.4,0.0,88.8,23.0,117.4,8.2,27.5,15.0,not fire,Sidi-Bel Abbes
30,9,2012,32.0,57.6,12.7,0.9,80.5,17.0,123.2,12.7,30.0,24.0,fire,Sidi-Bel Abbes
1,6,2012,35.4,67.9,22.8,1.5,75.0,23.7,137.9,13.1,35.1,28.4,fire,Sidi-Bel Abbes
2,7,2012,30.7,77.2,10.5,0.0,85.6,26.7,102.2,9.6,27.3,17.5,not fire,Sidi-Bel Abbes
3,8,2012,26.4,49.2,18.3,0.0,90.3,16.4,93.8,13.8,22.5,22.9,not fire,Sidi-Bel Abbes
4,9,2012,37.2,60.9,8.0,0.6,81.1,37.0,158.5,10.7,46.3,26.6,fire,Sidi-Bel Abbes
5,6,2012,,49.4,16.2,0.0,88.7,29.8,132.8,11.3,34.1,24.5,fire,Sidi-Bel Abbes
6,7,2012,41.0,76.4,6.9,0.0,88.6,39.3,177.1,8.4,50.7,20.5,not fire,Sidi-Bel Abbes
7,8,2012,33.0,31.6,17.7,0.0,90.9,24.4,110.7,12.8,30.1,23.5,fire,Sidi-Bel Abbes
8,9,2012,34.3,48.3,9.6,1.2,82.6,28.0,128.6,11.6,33.8,24.3,fire,Sidi-Bel Abbes
9,6,2012,32.7,48.0,17.2,2.3,72.4,22.0,91.4,12.6,20.8,19.3,not fire,Sidi-Bel Abbes
10,7,2012,37.1,50.2,7.7,0.0,91.8,28.6,161.8,11.4,39.1,25.3,fire,Sidi-Bel Abbes
11,8,2012,26.9,68.0,18.7,0.0,86.2,15.5,101.8,11.1,27.8,20.5,not fire,Sidi-Bel Abbes
12,9,2012,26.2,44.8,11.0,0.8,84.5,10.9,65.8,10.8,12.8,11.7,not fire,Sidi-Bel Abbes
13,6,2012,27.5,41.9,25.0,0.7,85.6,11.4,85.9,14.2,17.7,21.6,not fire,Sidi-Bel Abbes
14,7,2012,26.0,50.7,12.1,0.9,80.9,13.0,79.4,10.1,20.7,15.9,not fire,Sidi-Bel Abbes
15,8,2012,31.6,48.5,19.0,0.0,89.4,25.8,132.9,11.5,37.0,23.2,fire,Sidi-Bel Abbes
16,9,2012,33.1,78.6,17.4,0.0,84.3,28.0,126.5,11.4,35.2,24.6,fire,Sidi-Bel Abbes
17,6,2012,28.2,42.9,8.2,0.0,91.9,20.8,106.7,11.7,29.2,22.8,not fire,Sidi-Bel Abbes
18,7,2012,31.5,47.0,26.1,0.0,88.9,26.8,121.3,12.6,36.5,27.7,fire,Sidi-Bel Abbes
19,8,2012,26.4,72.8,18.1,0.5,85.9,17.8,86.1,14.8,23.9,25.6,fire,Sidi-Bel Abbes
20,9,2012,28.7,63.7,17.4,0.3,83.7,20.4,100.1,10.6,24.3,18.7,not fire,Sidi-Bel Abbes
21,6,2012,19.0,58.1,12.6,1.0,79.6,4.4,35.8,11.2,9.5,10.3,not fire,Sidi-Bel Abbes
22,7,2012,37.0,40.1,16.5,0.0,92.6,39.9,145.8,11.4,43.8,28.3,fire,Sidi-Bel Abbes
23,8,2012,34.5,56.5,9.4,0.0,86.3,33.7,159.8,11.7,45.3,28.4,fire,Sidi-Bel Abbes
24,9,2012,22.9,,9.5,1.4,80.1,8.8,58.5,10.3,16.0,13.6,not fire,Sidi-Bel Abbes
25,6,2012,34.7,52.1,13.3,0.0,85.5,29.7,138.4,10.1,38.5,22.7,not fire,Sidi-Bel Abbes
26,7,2012,21.2,41.3,17.0,0.0,88.8,9.4,65.5,13.8,15.3,17.8,not fire,Sidi-Bel Abbes
27,8,2012,28.9,62.0,16.0,0.7,82.5,21.5,100.3,13.0,29.7,24.4,fire,Sidi-Bel Abbes
28,9,2012,23.0,78.2,16.3,0.0,84.1,14.1,65.5,11.5,21.1,17.0,not fire,Sidi-Bel Abbes
29,6,2012,28.0,58.2,17.0,0.0,90.3,20.4,102.0,12.7,27.7,23.8,fire,Sidi-Bel Abbes
30,7,2012,33.1,66.6,17.8,0.0,85.6,28.1,128.2,12.9,40.5,29.5,fire,Sidi-Bel Abbes
1,8,2012,34.1,71.0,15.5,0.1,85.1,30.3,127.8,11.7,37.8,27.0,fire,Sidi-Bel Abbes
2,9,2012,33.6,73.9,14.5,0.1,90.7,29.6,125.3,11.7,34.7,25.8,fire,Sidi-Bel Abbes
3,6,2012,30.2,56.9,14.7,0.7,81.8,18.1,109.6,12.4,28.0,22.4,not fire,Sidi-Bel Abbes
4,7,2012,35.4,43.8,12.4,0.0,93.3,33.5,147.2,14.1,47.8,33.0,fire,Sidi-Bel Abbes
5,8,2012,28.3,45.8,10.7,1.2,80.2,13.0,96.5,10.8,23.3,18.6,not fire,Sidi-Bel Abbes
6,9,2012,35.0,49.4,25.6,0.5,82.2,26.5,123.7,13.7,34.2,28.5,fire,Sidi-Bel Abbes
7,6,2012,42.0,63.2,18.6,0.0,85.8,42.3,183.4,10.4,52.5,27.8,fire,Sidi-Bel Abbes
8,7,2012,30.9,42.8,12.3,1.8,76.7,20.9,115.2,10.3,28.9,19.9,not fire,Sidi-Bel Abbes
9,8,2012,35.1,48.5,19.0,0.9,85.2,33.6,128.8,12.8,39.5,29.3,fire,Sidi-Bel Abbes
10,9,2012,28.8,32.7,15.5,0.0,92.5,18.6,93.7,13.3,25.5,24.4,fire,Sidi-Bel Abbes
11,6,2012,42.0,59.2,17.4,0.4,82.4,45.7,172.5,10.8,53.2,29.3,fire,Sidi-Bel Abbes
12,7,2012,27.5,50.4,21.1,0.8,80.3,19.3,94.7,11.8,22.6,18.7,not fire,Sidi-Bel Abbes
13,8,2012,31.7,72.5,9.8,0.1,86.8,18.3,128.0,9.8,30.8,19.4,not fire,Sidi-Bel Abbes
14,9,2012,37.4,63.3,5.0,0.0,88.0,34.3,158.4,11.6,45.5,28.6,fire,Sidi-Bel Abbes
15,6,2012,22.8,48.2,17.1,0.0,91.3,14.2,67.6,9.1,16.1,14.0,not fire,Sidi-Bel Abbes
16,7,2012,29.3,25.2,21.2,,95.7,22.7,109.3,14.8,31.4,32.5,fire,Sidi-Bel Abbes
17,8,2012,36.9,31.3,17.2,0.0,95.0,32.7,160.4,14.8,48.8,33.0,fire,Sidi-Bel Abbes
18,9,2012,29.5,50.4,12.5,1.0,75.9,17.8,104.6,10.0,30.2,19.3,not fire,Sidi-Bel Abbes
19,6,2012,,58.9,19.1,0.0,91.1,36.7,164.7,13.9,46.1,33.0,fire,Sidi-Bel Abbes
20,7,2012,42.0,50.9,17.1,0.0,91.9,42.2,162.9,13.9,45.3,33.0,fire,Sidi-Bel Abbes
21,8,2012,32.8,70.0,10.5,0.5,83.4,26.0,120.7,11.2,39.2,26.3,fire,Sidi-Bel Abbes
